time,angle
4.74,72.85
4.77,72.16
4.81,69.59
4.84,66.62
4.87,62.29
4.91,56.54
4.94,50.72
4.97,42.43
5.01,34.25
5.04,25.02
5.07,15.93
5.11,5.48
5.14,-4.22
5.17,-12.57
5.21,-22.77
5.24,-31.01
5.27,-38.51
5.31,-46.60
5.34,-53.02
5.37,-58.33
5.41,-63.30
5.44,-66.59
5.47,-68.63
5.51,-70.12
5.54,-70.86
5.57,-69.54
5.61,-67.55
5.64,-63.21
5.67,-60.22
5.71,-54.75
5.74,-47.82
5.77,-40.50
5.81,-32.43
5.84,-23.41
5.87,-13.67
5.91,-4.60
5.94,5.11
5.97,13.10
6.01,13.10
6.04,32.08
6.07,39.36
6.11,46.55
6.14,53.67
6.17,59.17
6.21,63.19
6.24,66.47
6.27,68.72
6.31,69.98
6.34,69.99
6.37,68.57
6.41,66.55
6.44,62.60
6.47,58.20
6.51,52.74
6.54,46.20
6.57,38.68
6.61,29.95
6.64,20.72
6.67,11.84
6.71,2.28
6.74,-7.38
6.77,-15.87
6.81,-25.82
6.84,-33.17
6.87,-41.08
6.91,-48.37
6.94,-53.45
6.97,-58.53
7.01,-63.30
7.04,-65.93
7.07,-67.20
7.11,-68.46
7.14,-68.18
7.17,-66.74
7.21,-64.24
7.24,-60.51
7.27,-55.53
7.31,-49.75
7.34,-42.53
7.37,-35.04
7.41,-26.93
7.44,-18.03
7.47,-8.27
7.51,1.18
7.54,10.62
7.57,18.88
7.61,27.52
7.64,34.80
7.67,42.76
7.71,49.54
7.74,55.24
7.77,59.48
7.81,63.36
7.84,66.19
7.87,67.78
7.91,68.24
7.94,67.43
7.97,65.66
8.01,62.53
8.04,58.48
8.07,53.45
8.11,46.70
8.14,40.03
8.17,32.46
8.21,23.18
8.24,13.66
8.27,4.23
8.31,-4.49
8.34,-13.34
8.37,-22.05
8.41,-30.64
8.44,-37.99
8.47,-44.94
8.51,-51.07
8.54,-55.79
8.57,-60.07
8.61,-63.31
8.64,-65.47
8.67,-66.58
8.71,-66.56
8.74,-65.44
8.77,-63.13
8.81,-59.75
8.84,-55.16
8.87,-49.54
8.91,-42.94
8.94,-35.81
8.97,-27.59
9.01,-18.47
9.04,-9.90
9.07,0.50
9.11,8.93
9.14,17.20
9.17,25.67
9.21,33.64
9.24,40.87
9.27,47.12
9.31,53.09
9.34,57.25
9.37,61.01
9.41,63.82
9.44,65.50
9.47,66.09
9.51,65.58
9.54,63.89
9.57,61.18
9.61,57.15
9.64,52.21
9.67,46.41
9.71,39.83
9.74,31.77
9.77,23.34
9.81,13.80
9.84,5.33
9.87,-2.73
9.91,-12.27
9.94,-20.82
9.97,-28.82
10.01,-36.25
10.04,-42.83
10.07,-48.90
10.11,-54.04
10.14,-58.28
10.17,-61.38
10.21,-63.53
10.24,-64.63
10.27,-64.63
10.31,-63.52
10.34,-61.30
10.37,-57.99
10.41,-53.54
10.44,-47.98
10.47,-41.54
10.51,-34.71
10.54,-26.33
10.57,-17.44
10.61,-9.16
10.64,-0.74
10.67,8.47
10.71,16.77
10.74,25.07
10.77,32.90
10.81,40.24
10.84,46.40
10.87,51.67
10.91,56.73
10.94,59.79
10.97,62.43
11.01,64.03
11.04,64.49
11.07,63.85
11.11,62.06
11.14,59.17
11.17,55.29
11.21,50.27
11.24,44.73
11.27,37.58
11.31,29.94
11.34,21.39
11.37,13.08
11.41,4.39
11.44,-5.30
11.47,-13.01
11.51,-21.91
11.54,-29.78
11.57,-37.32
11.61,-43.07
11.64,-48.81
11.67,-54.01
11.71,-57.11
11.74,-60.37
11.77,-62.28
11.81,-63.16
11.84,-62.93
11.87,-61.64
11.91,-59.21
11.94,-55.75
11.97,-51.15
12.01,-45.49
12.04,-39.10
