time,angle
5.53,-67.24
5.57,-66.75
5.60,-64.61
6.34,55.65
6.37,49.23
6.41,41.49
6.44,32.70
6.47,23.05
6.51,12.59
6.54,1.87
6.57,-8.79
6.61,-19.13
6.64,-28.80
6.67,-37.56
6.71,-45.13
6.74,-51.80
6.77,-57.39
6.81,-61.64
6.84,-64.39
6.87,-65.71
6.91,-65.51
6.94,-63.83
6.97,-60.65
7.01,-55.91
7.04,-49.84
7.07,-42.56
7.11,-34.02
7.14,-24.52
7.17,-14.43
7.21,-3.86
7.24,6.66
7.27,16.88
7.31,26.60
7.34,35.58
7.37,43.46
7.41,50.43
7.44,56.13
7.47,60.54
7.51,63.54
7.54,65.02
7.57,64.99
7.61,63.42
7.64,60.31
7.67,55.65
7.71,49.63
7.74,42.35
7.77,33.96
7.81,24.60
7.84,14.50
7.87,4.04
7.91,-6.53
7.94,-16.72
7.97,-26.39
8.01,-35.29
8.04,-43.08
8.07,-49.60
8.11,-55.23
8.14,-59.68
8.17,-62.69
8.21,-64.22
8.24,-64.25
8.27,-62.80
8.31,-59.88
8.34,-55.49
8.37,-49.71
8.41,-42.66
8.44,-34.45
8.47,-25.21
8.51,-15.27
8.54,-4.97
8.57,5.35
8.61,15.38
8.64,24.95
8.67,33.89
8.71,41.79
8.74,48.79
8.77,54.52
8.81,58.98
8.84,62.06
8.87,63.66
8.91,63.72
8.94,62.28
8.97,59.33
9.01,54.85
9.04,48.99
9.07,41.89
9.11,33.67
9.14,24.60
9.17,14.73
9.21,4.43
9.24,-5.90
9.27,-15.98
9.31,-25.53
9.34,-34.28
9.37,-42.10
9.41,-48.56
9.44,-54.11
9.47,-58.40
9.51,-61.42
9.54,-62.98
9.57,-63.00
9.61,-61.57
9.64,-58.69
9.67,-54.35
9.71,-48.67
9.74,-41.73
9.77,-33.61
9.81,-24.51
9.84,-14.82
9.87,-4.70
9.91,5.43
9.94,15.34
9.97,24.72
10.01,33.48
10.04,41.26
10.07,48.07
10.11,53.65
10.14,57.97
10.17,60.95
10.21,62.41
10.24,62.35
10.27,60.80
10.31,57.77
10.34,53.28
10.37,47.37
10.41,40.32
10.44,32.23
10.47,23.19
10.51,13.47
10.54,3.36
10.57,-6.79
10.61,-16.71
10.64,-25.94
10.67,-34.54
10.71,-42.04
10.74,-48.28
10.77,-53.69
10.81,-57.74
10.84,-60.46
10.87,-61.75
10.91,-61.62
10.94,-60.04
10.97,-56.97
11.01,-52.65
11.04,-46.82
11.07,-39.91
11.11,-31.78
11.14,-22.81
11.17,-13.15
11.21,-3.14
11.24,6.84
11.27,16.44
11.31,25.55
11.34,34.14
11.37,41.53
11.41,48.03
11.44,53.33
11.47,57.37
11.51,60.03
11.54,61.23
11.57,60.92
11.61,59.15
11.64,55.82
11.67,51.11
11.71,45.07
11.74,37.92
11.77,29.68
11.81,20.64
11.84,11.03
11.87,1.08
11.91,-8.87
11.94,-18.53
11.97,-27.51
12.01,-35.75
12.04,-42.80
12.07,-48.87
12.11,-53.78
12.14,-57.47
12.17,-59.82
12.21,-60.81
12.24,-60.25
12.27,-58.33
12.31,-54.95
12.34,-50.17
12.37,-44.10
12.41,-36.85
12.44,-28.58
12.47,-19.47
12.51,-9.90
12.54,-0.06
12.57,9.74
12.61,19.05
12.64,27.84
12.67,35.93
12.71,43.00
12.74,49.02
12.77,53.86
12.81,57.40
12.84,59.54
12.87,60.25
12.91,59.44
12.94,57.21
12.97,53.46
13.01,48.41
13.04,42.05
13.07,34.71
13.11,26.27
13.14,17.15
13.17,7.51
13.21,-2.30
13.24,-11.99
13.27,-21.23
13.31,-29.91
13.34,-37.53
13.37,-44.19
13.41,-49.72
13.44,-54.11
13.47,-57.31
13.51,-59.11
13.54,-59.47
13.57,-58.47
13.61,-55.99
13.64,-52.18
13.67,-46.98
13.71,-40.62
13.74,-33.11
13.77,-24.61
13.81,-15.44
13.84,-5.93
13.87,3.78
13.91,13.18
13.94,22.26
13.97,30.59
14.01,38.16
14.04,44.69
14.07,50.17
14.11,54.42
14.14,57.34
14.17,58.83
14.21,58.90
14.24,57.53
14.27,54.63
14.31,50.37
14.34,44.78
14.37,38.07
14.41,30.29
14.44,21.77
14.47,12.52
14.51,2.91
14.54,-6.72
14.57,-16.07
14.61,-24.94
14.64,-33.03
14.67,-40.03
14.71,-46.10
14.74,-51.03
14.77,-54.85
14.81,-57.34
14.84,-58.47
14.87,-58.20
14.91,-56.44
14.94,-53.29
14.97,-48.88
15.01,-43.14
15.04,-36.30
15.07,-28.44
15.11,-19.72
15.14,-10.53
15.17,-1.02
15.21,8.44
15.24,17.51
15.27,26.09
15.31,34.00
15.34,40.89
15.37,46.85
15.41,51.61
15.44,55.10
15.47,57.24
15.51,57.96
15.54,57.25
15.57,55.06
15.61,51.46
15.64,46.55
15.67,40.43
15.71,33.25
15.74,25.13
15.77,16.32
15.81,7.00
15.84,-2.45
15.87,-11.84
15.91,-20.77
15.94,-29.12
15.97,-36.53
16.01,-43.02
16.04,-48.39
16.07,-52.50
16.11,-55.44
16.14,-57.11
16.17,-57.38
16.21,-56.29
16.24,-53.80
16.27,-50.05
16.31,-44.79
16.34,-38.54
16.37,-31.16
16.41,-22.92
16.44,-14.06
16.47,-4.78
16.51,4.54
16.54,13.69
16.57,22.37
16.61,30.45
16.64,37.61
16.67,43.81
16.71,48.96
16.74,52.90
16.77,55.51
16.81,56.76
16.84,56.57
16.87,54.94
16.91,51.91
16.94,47.53
16.97,41.90
17.01,35.23
17.04,27.47
17.07,19.03
17.11,10.02
17.14,0.67
17.17,-8.65
17.21,-17.65
17.24,-26.04
17.27,-33.67
17.31,-40.27
17.34,-45.96
17.37,-50.37
17.41,-53.75
17.44,-55.85
17.47,-56.52
17.51,-55.85
17.54,-53.82
17.57,-50.43
17.61,-45.72
17.64,-39.78
17.67,-32.93
17.71,-25.07
17.74,-16.38
17.77,-7.31
17.81,1.89
17.84,10.91
17.87,19.64
17.91,27.75
17.94,35.14
17.97,41.49
18.01,46.88
18.04,51.11
18.07,54.04
18.11,55.65
18.14,55.89
18.17,54.64
18.21,52.03
18.24,48.05
18.27,42.79
18.31,36.45
18.34,29.04
18.37,20.92
18.41,12.12
18.44,3.02
18.47,-6.22
18.51,-15.17
18.54,-23.62
18.57,-31.37
18.61,-38.08
18.64,-43.76
18.67,-48.59
18.71,-52.20
18.74,-54.56
18.77,-55.57
18.81,-55.22
18.84,-53.52
18.87,-50.40
18.91,-46.07
18.94,-40.47
18.97,-33.91
19.01,-26.33
19.04,-17.99
19.07,-9.07
19.11,-0.01
19.14,8.99
19.17,17.55
19.21,25.74
19.24,33.10
19.27,39.64
19.31,45.17
19.34,49.51
19.37,52.68
19.41,54.48
19.44,54.97
19.47,54.03
19.51,51.66
19.54,47.97
19.57,43.00
19.61,36.92
19.64,29.78
19.67,21.90
19.71,13.24
19.74,4.27
19.77,-4.79
19.81,-13.71
19.84,-22.13
19.87,-29.91
19.91,-36.68
19.94,-42.57
19.97,-47.41
20.01,-51.06
20.04,-53.58
20.07,-54.81
20.11,-54.65
20.14,-53.16
20.17,-50.33
20.21,-46.20
20.24,-40.85
20.27,-34.51
20.31,-27.15
20.34,-18.99
20.37,-10.31
20.41,-1.34
20.44,7.56
20.47,16.15
20.51,24.29
20.54,31.72
20.57,38.25
20.61,43.81
20.64,48.29
20.67,51.55
20.71,53.51
20.74,54.06
20.77,53.28
20.81,51.10
20.84,47.56
20.87,42.78
20.91,36.85
20.94,29.92
20.97,22.22
21.01,13.81
21.04,4.97
21.07,-3.96
21.11,-12.75
21.14,-21.09
21.17,-28.77
21.21,-35.63
21.24,-41.30
21.27,-46.20
21.31,-50.03
21.34,-52.61
21.37,-53.85
21.41,-53.77
21.44,-52.38
21.47,-49.59
21.51,-45.66
21.54,-40.45
21.57,-34.16
21.61,-27.00
21.64,-18.96
21.67,-10.41
21.71,-1.63
21.74,7.15
21.77,15.67
21.81,23.64
21.84,30.97
21.87,37.49
21.91,43.01
21.94,47.48
21.97,50.71
22.01,52.69
22.04,53.31
22.07,52.53
22.11,50.44
22.14,47.00
22.17,42.28
22.21,36.49
22.24,29.60
22.27,22.06
22.31,13.80
22.34,5.10
22.37,-3.69
22.41,-12.36
22.44,-20.55
22.47,-28.22
22.51,-34.97
22.54,-40.80
22.57,-45.50
22.61,-49.22
22.64,-51.70
22.67,-52.95
22.71,-52.89
22.74,-51.46
22.77,-48.74
22.81,-44.70
22.84,-39.56
22.87,-33.34
22.91,-26.20
22.94,-18.42
22.97,-9.94
23.01,-1.28
23.04,7.39
23.07,15.74
23.11,23.62
23.14,30.78
23.17,37.18
23.21,42.55
23.24,46.90
23.27,50.06
23.31,51.94
23.34,52.46
23.37,51.63
23.41,49.50
23.44,46.02
23.47,41.29
23.51,35.55
23.54,28.73
23.57,21.20
23.61,12.99
23.64,4.43
23.67,-4.25
23.71,-12.74
23.74,-20.88
23.77,-28.35
23.81,-34.87
23.84,-40.57
23.87,-45.13
23.91,-48.71
23.94,-51.07
23.97,-52.24
24.01,-52.03
24.04,-50.51
24.07,-47.71
24.11,-43.68
24.14,-38.48
24.17,-32.25
24.21,-25.22
24.24,-17.33
24.27,-8.98
24.31,-0.46
24.34,8.04
24.37,16.25
24.41,23.97
24.44,30.98
24.47,37.19
24.51,42.37
24.54,46.54
24.57,49.51
24.61,51.21
24.64,51.57
24.67,50.59
24.71,48.29
24.74,44.73
24.77,39.94
24.81,34.13
24.84,27.26
24.87,19.75
24.91,11.59
24.94,3.16
24.97,-5.44
25.01,-13.77
25.04,-21.68
25.07,-28.90
25.11,-35.24
25.14,-40.60
25.17,-45.08
25.21,-48.48
25.24,-50.62
25.27,-51.52
25.31,-51.11
25.34,-49.44
25.37,-46.47
25.41,-42.40
25.44,-37.09
25.47,-30.89
25.51,-23.70
25.54,-15.91
25.57,-7.62
25.61,0.86
25.64,9.27
25.67,17.19
25.71,24.75
25.74,31.62
25.77,37.60
25.81,42.57
25.84,46.48
25.87,49.20
25.91,50.64
25.94,50.79
25.97,49.57
26.01,47.07
26.04,43.33
26.07,38.41
26.11,32.46
26.14,25.56
26.17,17.98
26.21,9.94
26.24,1.51
26.27,-6.91
26.31,-15.13
26.34,-22.86
26.37,-29.84
26.41,-36.06
26.44,-40.92
26.47,-45.13
26.51,-48.26
26.54,-50.16
26.57,-50.82
26.61,-50.12
26.64,-48.21
26.67,-44.97
26.71,-40.59
26.74,-35.16
26.77,-28.79
26.81,-21.60
26.84,-13.72
26.87,-5.50
26.91,2.86
26.94,10.98
26.97,18.82
27.01,26.07
27.04,32.69
27.07,38.34
27.11,42.97
27.14,46.59
27.17,48.96
27.21,50.09
27.24,49.88
27.27,48.37
27.31,45.59
27.34,41.61
27.37,36.49
27.41,30.35
27.44,23.37
27.47,15.73
27.51,7.64
27.54,-0.67
27.57,-9.00
27.61,-16.94
27.64,-24.38
27.67,-31.14
27.71,-36.89
27.74,-41.67
27.77,-45.58
27.81,-48.26
27.84,-49.77
27.87,-50.09
27.91,-49.06
27.94,-46.82
27.97,-43.27
28.01,-38.64
28.04,-33.01
28.07,-26.47
28.11,-19.20
28.14,-11.31
28.17,-3.13
28.21,5.07
28.24,13.02
28.27,20.64
28.31,27.65
28.34,33.84
28.37,39.15
28.41,43.47
28.44,46.67
28.47,48.67
28.51,49.38
28.54,48.79
28.57,46.93
28.61,43.78
28.64,39.45
28.67,34.06
28.71,27.67
28.74,20.63
28.77,12.93
28.81,4.86
28.84,-3.36
28.87,-11.48
28.91,-19.20
28.94,-26.36
28.97,-32.58
29.01,-37.68
29.04,-42.38
29.07,-45.88
29.11,-48.20
29.14,-49.32
29.17,-49.20
29.21,-47.74
29.24,-45.14
29.27,-41.27
29.31,-36.37
29.34,-30.53
29.37,-23.75
29.41,-16.35
29.44,-8.46
29.47,-0.40
29.51,7.70
29.54,15.44
29.57,22.78
29.61,29.38
29.64,35.30
29.67,40.19
29.71,44.05
29.74,46.77
29.77,48.30
29.81,48.56
29.84,47.54
29.87,45.21
29.91,41.67
29.94,37.01
29.97,31.34
30.01,24.75
30.04,17.47
30.07,9.77
30.11,1.66
30.14,-6.47
30.17,-14.34
30.21,-21.71
30.24,-28.52
30.27,-34.52
30.31,-39.60
30.34,-43.41
30.37,-46.38
30.41,-48.23
30.44,-48.83
30.47,-48.24
30.51,-46.34
30.54,-43.27
30.57,-39.04
30.61,-33.79
30.64,-27.68
30.67,-20.74
30.71,-13.24
30.74,-5.29
30.77,2.70
30.81,10.58
30.84,18.07
30.87,25.03
30.91,31.40
30.94,36.83
30.97,41.28
31.01,44.68
31.04,46.92
31.07,47.90
31.11,47.63
31.14,46.06
31.17,43.28
31.21,39.30
31.24,34.28
31.27,28.24
31.31,21.49
31.34,14.07
31.37,6.30
31.41,-1.73
31.44,-9.65
31.47,-17.25
31.51,-24.34
31.54,-30.75
31.57,-36.14
31.61,-40.72
31.64,-44.27
31.67,-46.71
31.71,-47.96
31.74,-48.03
31.77,-46.91
31.81,-44.50
31.84,-40.89
31.87,-36.30
31.91,-30.68
31.94,-24.20
31.97,-17.13
32.01,-9.47
32.04,-1.62
32.07,6.24
32.11,13.93
32.14,21.13
32.17,27.70
32.21,33.54
32.24,38.51
32.27,42.45
32.31,45.29
32.34,46.92
32.37,47.30
32.41,46.43
32.44,44.34
32.47,41.03
32.51,36.60
32.54,31.14
32.57,24.82
32.61,17.82
32.64,10.34
32.67,2.49
32.71,-5.44
32.74,-13.10
32.77,-20.42
32.81,-27.13
32.84,-33.12
32.87,-37.66
32.91,-41.80
32.94,-44.88
32.97,-46.78
33.01,-47.47
33.04,-46.93
33.07,-45.17
33.11,-42.24
33.14,-38.11
33.17,-33.08
33.21,-27.09
33.24,-20.43
33.27,-13.12
33.31,-5.44
33.34,2.38
33.37,10.03
33.41,17.38
33.44,24.24
33.47,30.37
33.51,35.76
33.54,40.12
33.57,43.44
33.61,45.64
33.64,46.63
33.67,46.40
33.71,44.92
33.74,42.21
33.77,38.35
33.81,33.42
33.84,27.57
33.87,20.96
33.91,13.72
33.94,6.15
33.97,-1.67
34.00,-9.35
34.04,-16.80
34.07,-23.78
34.11,-30.00
34.14,-34.96
34.17,-39.46
34.20,-43.01
34.24,-45.40
34.27,-46.63
34.30,-46.69
34.34,-45.54
34.37,-43.14
34.40,-39.66
34.44,-35.10
34.47,-29.61
34.50,-23.32
34.54,-16.39
34.57,-8.91
34.60,-1.21
34.64,6.52
34.67,13.89
34.70,20.95
34.74,27.30
34.77,32.97
34.80,37.75
34.84,41.52
34.87,44.22
34.90,45.73
34.94,45.99
34.97,45.06
35.00,42.91
35.04,39.58
35.07,35.19
35.10,29.77
35.14,23.57
35.17,16.64
35.20,9.34
35.24,1.66
35.27,-6.06
35.30,-13.57
35.34,-20.64
35.37,-27.08
35.40,-32.86
35.44,-37.55
35.47,-41.19
35.50,-44.00
35.54,-45.75
35.57,-46.23
35.60,-45.58
35.64,-43.76
35.67,-40.75
35.70,-36.66
35.74,-31.62
35.77,-25.67
35.80,-19.05
35.84,-11.86
35.87,-4.29
35.90,3.36
35.94,10.79
35.97,17.82
36.00,24.46
36.04,30.42
36.07,35.56
36.10,39.64
36.14,42.75
36.17,44.75
36.20,45.51
36.24,45.07
36.27,43.44
36.30,40.60
36.34,36.68
36.37,31.72
36.40,25.86
36.44,19.26
36.47,12.12
36.50,4.66
36.54,-2.89
36.57,-10.44
36.60,-17.60
36.64,-24.22
36.67,-30.19
36.70,-35.26
36.74,-39.19
36.77,-42.38
36.80,-44.47
36.84,-45.44
36.87,-45.26
36.90,-43.81
36.94,-41.30
36.97,-37.60
37.00,-32.95
37.04,-27.37
37.07,-21.08
37.10,-14.18
37.14,-6.82
37.17,0.67
37.20,8.14
37.24,15.27
37.27,22.05
37.30,28.07
37.34,33.45
37.37,37.89
37.40,41.32
37.44,43.69
37.47,44.85
37.50,44.86
37.54,43.65
37.57,41.26
37.60,37.75
37.64,33.16
37.67,27.68
37.70,21.42
37.74,14.53
37.77,7.26
37.80,-0.23
37.84,-7.74
37.87,-14.95
37.90,-21.79
37.94,-27.88
37.97,-33.25
38.00,-37.24
38.04,-40.77
38.07,-43.33
38.10,-44.68
38.14,-44.87
38.17,-43.90
38.20,-41.76
38.24,-38.46
38.27,-34.20
38.30,-28.99
38.34,-23.02
38.37,-16.32
38.40,-9.20
38.44,-1.78
38.47,5.63
38.50,12.73
38.54,19.56
38.57,25.84
38.60,31.38
38.64,36.06
38.67,39.78
38.70,42.47
38.74,44.01
38.77,44.39
38.80,43.56
38.84,41.56
38.87,38.42
38.90,34.22
38.94,29.05
38.97,23.10
39.00,16.44
39.04,9.41
39.07,2.04
39.10,-5.37
39.14,-12.66
39.17,-19.49
39.20,-25.84
39.24,-31.40
39.27,-35.55
39.30,-39.39
39.34,-42.16
39.37,-43.81
39.40,-44.34
39.44,-43.68
39.47,-41.91
39.50,-38.98
39.54,-35.05
39.57,-30.12
39.60,-24.44
39.64,-18.04
39.67,-11.07
39.70,-3.75
39.74,3.59
39.77,10.70
39.80,17.55
39.84,23.90
39.87,29.57
39.90,34.51
39.94,38.46
39.97,41.39
40.00,43.22
40.04,43.92
40.07,43.40
40.10,41.74
40.14,38.96
40.17,35.07
40.20,30.16
40.24,24.45
40.27,18.07
40.30,11.16
40.34,3.99
40.37,-3.38
40.40,-10.60
40.44,-17.51
40.47,-23.87
40.50,-29.66
40.54,-34.56
40.57,-38.13
40.60,-41.05
40.64,-42.93
40.67,-43.75
40.70,-43.43
40.74,-41.95
40.77,-39.32
40.80,-35.59
40.84,-31.05
40.87,-25.57
40.90,-19.39
40.94,-12.67
40.97,-5.52
41.00,1.68
41.04,8.88
41.07,15.61
41.10,22.13
41.14,27.86
41.17,32.93
41.20,37.07
41.24,40.20
41.27,42.28
41.30,43.25
41.34,43.03
41.37,41.67
41.40,39.14
41.44,35.55
41.47,30.93
41.50,25.46
41.54,19.28
41.57,12.50
41.60,5.39
41.64,-1.82
41.67,-9.02
41.70,-15.96
41.74,-22.48
41.77,-28.26
41.80,-33.10
41.84,-37.25
41.87,-40.17
41.90,-42.29
41.94,-43.33
41.97,-43.23
42.00,-41.98
42.04,-39.63
42.07,-36.22
42.10,-31.86
42.14,-26.70
42.17,-20.62
42.20,-14.06
42.24,-7.07
42.27,0.01
42.30,7.13
42.34,13.96
42.37,20.50
42.40,26.37
42.44,31.56
42.47,35.83
42.50,39.14
42.54,41.41
42.57,42.61
42.60,42.63
42.64,41.50
42.67,39.22
42.70,35.87
42.74,31.46
42.77,26.22
42.80,20.18
42.84,13.63
42.87,6.73
42.90,-0.47
42.94,-7.60
42.97,-14.48
43.00,-20.98
43.04,-26.86
43.07,-32.01
43.10,-35.53
43.14,-38.98
43.17,-41.27
43.20,-42.54
43.24,-42.63
43.27,-41.66
43.30,-39.53
43.34,-36.31
43.37,-32.09
43.40,-27.06
43.44,-21.34
43.47,-14.94
43.50,-8.13
43.54,-1.16
43.57,5.83
43.60,12.67
43.64,19.22
43.67,25.16
43.70,30.37
43.74,34.81
43.77,38.23
43.80,40.70
43.84,42.00
43.87,42.22
43.90,41.28
43.94,39.20
43.97,36.09
44.00,31.91
44.04,26.81
44.07,20.99
44.10,14.56
44.14,7.76
44.17,0.72
44.20,-6.38
44.24,-13.28
44.27,-19.66
44.30,-25.60
44.34,-30.84
44.37,-34.45
44.40,-37.97
44.44,-40.40
44.47,-41.79
44.50,-42.07
44.54,-41.25
44.57,-39.33
44.60,-36.29
44.64,-32.31
44.67,-27.46
44.70,-21.77
44.74,-15.64
44.77,-8.91
44.80,-2.00
44.84,4.84
44.87,11.72
44.90,18.11
44.94,24.12
44.97,29.39
45.00,33.85
45.04,37.42
45.07,39.93
45.10,41.41
45.14,41.74
45.17,40.99
45.20,39.05
45.24,36.10
45.27,32.09
45.30,27.14
45.34,21.48
45.37,15.16
45.40,8.44
45.44,1.48
45.47,-5.58
45.50,-12.37
45.54,-18.81
45.57,-24.74
45.60,-29.96
45.64,-34.29
45.67,-37.46
45.70,-39.90
45.74,-41.35
45.77,-41.78
45.80,-41.06
45.84,-39.27
45.87,-36.37
45.90,-32.47
45.94,-27.79
45.97,-22.33
46.00,-16.29
46.04,-9.85
46.07,-2.91
46.10,3.87
46.14,10.68
46.17,17.07
46.20,23.13
46.24,28.39
46.27,32.91
46.30,36.51
46.34,39.12
46.37,40.66
46.40,41.12
46.44,40.45
46.47,38.64
46.50,35.85
46.54,31.96
46.57,27.16
46.60,21.61
46.64,15.40
46.67,8.83
46.70,1.98
46.74,-5.03
46.77,-11.79
46.80,-18.19
46.84,-24.04
46.87,-29.21
46.90,-32.86
46.94,-36.56
46.97,-39.21
47.00,-40.70
