time,angle
5.03,66.45
5.07,64.57
5.10,61.67
5.13,56.88
5.17,50.70
5.20,44.33
5.23,36.33
5.27,28.03
5.30,19.04
5.33,9.54
5.37,0.11
5.40,-9.63
5.43,-18.28
5.47,-27.49
5.50,-34.92
5.53,-42.82
5.57,-48.05
5.60,-53.76
5.63,-58.35
5.67,-61.61
5.70,-64.36
5.73,-65.73
5.77,-64.22
5.80,-62.84
5.83,-59.92
5.87,-55.96
5.90,-50.76
5.93,-44.59
5.97,-37.67
6.00,-29.48
6.03,-20.58
6.07,-12.00
6.10,2.71
6.13,7.47
6.17,16.95
6.20,25.54
6.23,34.13
6.27,40.79
6.30,47.65
6.33,53.14
6.37,58.33
6.40,60.76
6.43,63.21
6.47,64.42
6.50,64.42
6.53,63.14
6.57,60.58
6.60,57.09
6.63,52.34
6.67,46.42
6.70,38.98
6.73,30.28
6.77,21.65
6.80,13.39
6.83,4.34
6.87,-6.05
6.90,-14.72
6.93,-23.66
6.97,-31.67
7.00,-39.06
7.03,-45.45
7.07,-51.08
7.10,-55.76
7.13,-59.62
7.17,-62.15
7.20,-63.49
7.23,-63.50
7.27,-62.61
7.30,-60.32
7.33,-56.75
7.37,-51.97
7.40,-46.34
7.43,-39.65
7.47,-31.58
7.50,-24.19
7.53,-14.84
7.57,-5.74
7.60,2.89
7.63,12.61
7.67,22.22
7.70,29.81
7.73,37.26
7.77,44.02
7.80,50.09
7.83,54.88
7.87,58.49
7.90,61.12
7.93,62.74
7.97,63.08
8.00,62.19
8.03,60.07
8.07,56.72
8.10,52.49
8.13,46.84
8.17,39.74
8.20,32.13
8.23,23.75
8.27,15.49
8.30,5.79
8.33,-3.26
8.37,-12.02
8.40,-20.96
8.43,-28.93
8.47,-36.36
8.50,-42.99
8.53,-48.81
8.57,-53.65
8.60,-57.05
8.63,-60.14
8.67,-61.60
8.70,-62.04
8.73,-61.25
8.77,-59.39
8.80,-56.16
8.83,-51.65
8.87,-46.21
8.90,-39.69
8.93,-32.26
8.97,-24.75
9.00,-16.15
9.03,-7.15
9.07,1.71
9.10,11.55
9.13,20.19
9.17,27.89
9.20,36.12
9.23,42.45
9.27,48.08
9.30,53.03
9.33,56.96
9.37,59.73
9.40,60.89
9.43,62.07
9.47,61.06
9.50,59.15
9.53,56.02
9.57,52.03
9.60,45.89
9.63,39.91
9.67,32.74
9.70,24.49
9.73,16.06
9.77,6.75
9.80,-1.79
9.83,-10.63
9.87,-19.33
9.90,-26.98
9.93,-34.85
9.97,-41.37
10.00,-47.22
10.03,-52.03
10.07,-55.87
10.10,-58.96
10.13,-60.13
10.17,-60.65
10.20,-59.93
10.23,-58.23
10.27,-54.94
10.30,-50.66
10.33,-45.30
10.37,-38.99
10.40,-31.87
10.43,-24.36
10.47,-15.99
10.50,-7.16
10.53,2.16
10.57,10.92
10.60,18.72
10.63,27.44
10.67,34.79
10.70,41.08
10.73,46.84
10.77,52.17
10.80,56.10
10.83,58.77
10.87,60.21
10.90,60.45
10.93,59.76
10.97,57.83
11.00,54.65
11.03,50.38
11.07,45.79
11.10,39.03
11.13,31.69
11.17,23.81
11.20,14.63
11.23,6.59
11.27,-2.09
11.30,-10.73
11.33,-18.80
11.37,-27.24
11.40,-35.25
11.43,-40.80
11.47,-46.22
11.50,-51.26
11.53,-55.00
11.57,-57.09
11.60,-58.69
11.63,-59.22
11.67,-58.29
11.70,-56.27
11.73,-53.02
11.77,-48.93
11.80,-43.68
11.83,-37.38
11.87,-30.26
11.90,-23.05
11.93,-14.38
11.97,-5.88
12.00,2.55
12.03,11.38
12.07,18.90
12.10,27.17
12.13,35.32
12.17,41.28
12.20,46.83
12.23,51.62
12.27,55.04
12.30,57.42
12.33,58.86
12.37,59.21
12.40,58.31
12.43,56.17
12.47,52.88
12.50,48.47
12.53,43.49
12.57,36.71
12.60,29.72
12.63,21.65
12.67,13.14
12.70,4.49
12.73,-3.10
12.77,-12.22
12.80,-20.26
12.83,-28.22
12.87,-35.02
12.90,-40.97
12.93,-46.19
12.97,-51.22
13.00,-54.67
13.03,-56.41
13.07,-57.79
13.10,-57.84
13.13,-56.90
13.17,-54.63
13.20,-51.55
13.23,-47.28
13.27,-41.41
13.30,-35.12
13.33,-28.03
13.37,-20.35
13.40,-12.14
13.43,-3.62
13.47,4.99
13.50,13.60
13.53,21.89
13.57,29.29
13.60,36.56
13.63,41.80
13.67,47.38
13.70,51.66
13.73,54.56
13.77,56.83
13.80,57.95
13.83,57.87
13.87,56.64
13.90,54.19
13.93,50.62
13.97,46.02
14.00,40.30
14.03,33.81
14.07,26.45
14.10,18.76
14.13,10.14
14.17,3.17
14.20,3.99
14.23,-14.21
14.27,-23.07
14.30,-29.87
14.33,-36.45
14.37,-42.12
14.40,-46.95
14.43,-50.95
14.47,-54.00
14.50,-55.98
14.53,-56.82
14.57,-56.55
14.60,-55.11
14.63,-52.46
14.67,-48.77
14.70,-43.96
14.73,-38.24
14.77,-31.90
14.80,-24.74
14.83,-17.05
14.87,-8.61
14.90,-0.48
14.93,8.25
14.97,16.43
15.00,24.02
15.03,30.94
15.07,37.97
15.10,43.28
15.13,47.69
15.17,51.53
15.20,54.41
15.23,56.19
15.27,56.88
15.30,56.31
15.33,54.60
15.37,51.72
15.40,47.74
15.43,42.74
15.47,36.74
15.50,30.04
15.53,22.57
15.57,14.62
15.60,6.80
15.63,4.78
15.67,-9.74
15.70,-18.65
15.73,-25.39
15.77,-32.41
15.80,-38.41
15.83,-43.68
15.87,-48.05
15.90,-51.55
15.93,-54.07
15.97,-55.49
16.00,-55.79
16.03,-54.99
16.07,-52.96
16.10,-49.87
16.13,-45.75
16.17,-40.59
16.20,-34.59
16.23,-27.94
16.27,-20.64
16.30,-13.01
16.33,-4.89
16.37,3.69
16.40,11.70
16.43,20.16
16.47,27.18
16.50,34.17
16.53,40.04
16.57,45.06
16.60,49.26
16.63,52.22
16.67,54.46
16.70,55.65
16.73,55.66
16.77,54.49
16.80,52.15
16.83,48.75
16.87,44.26
16.90,38.81
16.93,32.58
16.97,25.64
17.00,18.03
17.03,10.08
17.07,2.82
17.10,3.95
17.13,-13.93
17.17,-22.13
17.20,-28.79
17.23,-35.22
17.27,-40.66
17.30,-45.37
17.33,-49.22
17.37,-52.11
17.40,-53.97
17.43,-54.74
17.47,-54.39
17.50,-52.95
17.53,-50.36
17.57,-46.71
17.60,-42.02
17.63,-36.34
17.67,-30.11
17.70,-23.35
17.73,-15.59
17.77,-7.61
17.80,1.01
17.83,8.69
17.87,16.89
17.90,23.75
17.93,30.84
17.97,37.24
18.00,42.75
18.03,46.47
18.07,50.16
18.10,52.76
18.13,54.28
18.17,54.74
18.20,54.07
18.23,52.18
18.27,49.09
18.30,45.11
18.33,40.14
18.37,34.21
18.40,27.54
18.43,20.35
18.47,12.60
18.50,4.52
18.53,-3.31
18.57,-11.08
18.60,-18.75
18.63,-26.03
18.67,-32.67
18.70,-38.37
18.73,-43.21
18.77,-47.30
18.80,-50.46
18.83,-52.64
18.87,-53.86
18.90,-53.71
18.93,-52.62
18.97,-50.37
19.00,-47.10
19.03,-42.79
19.07,-37.53
19.10,-31.64
19.13,-24.92
19.17,-17.58
19.20,-9.78
19.23,-2.12
19.27,6.18
19.30,13.81
19.33,21.46
19.37,28.03
19.40,34.91
19.43,40.02
19.47,44.85
19.50,48.31
19.53,51.14
19.57,53.03
19.60,53.70
19.63,53.31
19.67,51.75
19.70,49.12
19.73,45.37
19.77,40.68
19.80,35.02
19.83,28.85
19.87,22.30
19.90,14.79
19.93,6.19
