time,angle
2.40,60.90
2.43,62.33
2.47,62.35
2.50,60.96
2.53,57.97
2.57,53.79
2.60,48.16
2.63,41.28
2.67,33.29
2.70,24.48
2.73,14.92
2.77,4.55
2.80,-5.47
2.83,-14.92
2.87,-24.23
2.90,-33.38
2.93,-40.79
2.97,-47.48
3.00,-52.48
3.20,-53.02
3.23,-47.91
3.27,-41.60
3.30,-34.39
3.33,-26.12
3.37,-17.21
3.40,-8.95
3.43,0.52
3.47,10.06
3.50,19.59
3.53,28.71
3.57,36.64
3.60,43.86
3.63,49.91
3.67,54.74
3.70,58.24
3.73,60.36
3.77,61.09
3.80,60.32
3.83,58.15
3.87,54.66
3.90,49.79
3.93,43.64
3.97,36.27
4.00,28.00
4.03,19.01
4.13,-10.62
4.17,-20.25
4.20,-29.14
4.23,-37.04
4.27,-43.97
4.30,-49.30
4.53,-49.19
4.57,-43.62
4.60,-37.11
4.63,-29.40
4.67,-20.88
4.70,-12.63
4.73,-3.43
4.77,6.20
4.80,15.56
4.83,24.76
4.87,32.89
4.90,40.35
4.93,46.78
4.97,52.01
5.00,55.94
5.03,58.54
5.07,59.71
5.10,59.48
5.13,57.85
5.17,54.91
5.20,50.66
5.23,44.98
5.27,38.08
5.30,30.41
5.33,21.91
5.37,12.51
5.40,2.78
5.43,-7.06
5.47,-16.35
5.50,-25.26
5.53,-33.76
5.57,-40.75
5.60,-46.94
5.83,-49.49
5.87,-44.44
5.90,-38.10
5.93,-30.77
5.97,-22.52
6.00,-13.90
6.03,-6.10
6.07,3.55
6.10,13.00
6.13,22.35
6.17,30.70
6.20,38.40
6.23,45.06
6.27,50.54
6.30,54.49
6.33,57.41
6.37,58.88
6.40,59.04
6.43,57.77
6.47,55.08
6.50,51.19
6.53,45.84
6.57,39.40
6.60,31.97
6.63,23.61
6.67,14.37
6.70,4.68
6.73,-4.71
6.77,-14.30
6.80,-22.83
6.83,-31.34
6.87,-38.50
6.90,-44.63
6.93,-49.42
6.97,-53.06
7.00,-55.17
7.03,-55.91
7.07,-55.12
7.10,-52.96
7.13,-49.34
7.17,-44.62
7.20,-38.56
7.23,-31.38
7.27,-23.45
7.30,-14.90
7.33,-6.23
