time,angle
0.70,-44.76
0.73,-44.34
0.77,-43.49
0.80,-41.88
0.83,-38.92
0.87,-34.84
0.90,-29.63
0.93,-23.39
0.97,-16.46
1.00,-9.31
1.03,-1.83
1.07,5.63
1.10,12.95
1.13,19.85
1.17,26.16
1.20,31.57
1.23,36.02
1.27,39.13
1.30,41.15
1.33,41.44
1.37,41.01
1.40,38.94
1.43,35.59
1.47,30.81
1.50,25.10
1.53,18.36
1.57,10.91
1.60,3.00
1.63,-5.04
1.67,-12.85
1.70,-20.18
1.73,-26.74
1.77,-32.33
1.80,-36.83
1.83,-40.17
1.87,-42.21
1.90,-43.01
1.93,-42.58
1.97,-40.91
2.00,-38.05
2.03,-33.94
2.07,-28.72
2.10,-22.59
2.13,-15.74
2.17,-8.48
2.20,-1.03
2.23,6.29
2.27,13.43
2.30,20.29
2.33,26.46
2.37,31.83
2.40,36.36
2.43,39.61
2.47,41.50
2.50,41.99
2.53,41.12
2.57,38.80
2.60,35.11
2.63,30.24
2.67,24.31
2.70,17.59
2.73,10.07
2.77,2.18
2.80,-5.80
2.83,-13.49
2.87,-20.66
2.90,-27.09
2.93,-32.49
2.97,-36.83
3.00,-41.05
3.03,-43.31
3.07,-44.01
3.10,-43.36
3.13,-41.25
3.17,-37.95
3.20,-33.43
3.23,-28.03
3.27,-21.72
3.30,-14.92
3.33,-7.70
3.37,-0.34
3.40,6.96
3.43,14.05
3.47,20.81
3.50,26.74
3.53,31.82
3.57,36.37
3.60,39.47
3.63,41.21
3.67,41.46
3.70,40.34
3.73,37.85
3.77,34.07
3.80,28.97
3.83,23.10
3.87,16.28
3.90,8.90
3.93,1.05
3.97,-6.82
4.00,-14.37
4.03,-21.32
4.07,-27.59
4.10,-32.71
4.13,-36.83
4.17,-39.83
4.20,-42.85
4.23,-43.48
4.27,-42.63
4.30,-40.33
4.33,-36.92
4.37,-32.38
4.40,-26.76
4.43,-20.51
4.47,-13.70
4.50,-6.50
4.53,0.80
4.57,8.00
4.60,14.90
4.63,21.36
4.67,27.15
4.70,31.89
4.73,36.51
4.77,39.29
4.80,40.63
4.83,40.62
4.87,39.47
4.90,36.87
4.93,32.89
4.97,27.84
5.00,21.72
5.03,14.86
5.07,7.39
5.10,-0.37
5.13,-8.07
5.17,-15.35
5.20,-22.20
5.23,-28.12
5.27,-33.13
5.30,-37.04
5.33,-39.76
5.37,-41.19
5.40,-41.45
5.43,-40.49
5.47,-38.38
5.50,-35.10
5.53,-30.68
5.57,-25.21
5.60,-18.91
5.63,-12.12
5.67,-4.94
5.70,2.31
5.73,9.43
5.77,16.24
5.80,22.48
5.83,28.14
5.87,32.97
5.90,36.82
5.93,39.32
5.97,40.45
6.00,40.28
6.03,38.77
6.07,35.83
6.10,31.71
6.13,26.46
6.17,20.31
6.20,13.33
6.23,5.84
6.27,-1.85
6.30,-9.40
6.33,-16.50
6.37,-23.12
6.40,-28.73
6.43,-33.55
6.47,-37.19
6.50,-39.65
6.53,-40.81
6.57,-40.84
6.60,-39.69
6.63,-37.29
6.67,-33.74
6.70,-29.13
6.73,-23.55
6.77,-17.21
6.80,-10.39
6.83,-3.29
6.87,3.88
6.90,10.82
6.93,17.45
6.97,23.56
7.00,29.03
7.03,33.66
7.07,37.12
7.10,39.26
